Linux 6.6.74+rpt-rpi-v8 (snow) 	07/03/25 	_aarch64_	(4 CPU)

12:40:24     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:41:54     all   27.93    0.00    6.98    0.00    0.00    0.25    0.00    0.00    0.00   64.84
12:41:55     all   28.02    0.00    6.94    0.00    0.00    0.26    0.00    0.00    0.00   64.78
12:41:56     all   24.87    0.00    5.64    0.00    0.00    0.26    0.00    0.00    0.00   69.23
12:41:57     all   25.89    0.00    7.11    0.25    0.00    0.51    0.00    0.00    0.00   66.24
12:41:58     all   25.94    0.00    6.80    0.00    0.00    0.00    0.00    0.00    0.00   67.25
12:41:59     all   23.71    0.00    5.67    0.00    0.00    0.00    0.00    0.00    0.00   70.62
12:42:00     all   31.33    0.00    6.77    0.00    0.00    0.25    0.00    0.00    0.00   61.65
12:42:01     all   26.74    0.00    5.66    0.00    0.00    0.26    0.00    0.00    0.00   67.35
12:42:02     all   26.45    0.00    6.55    0.00    0.00    0.50    0.00    0.00    0.00   66.50
12:42:03     all   24.16    0.00    6.43    0.00    0.00    0.00    0.00    0.00    0.00   69.41
12:42:04     all   26.75    0.00    6.75    0.00    0.00    0.25    0.00    0.00    0.00   66.25
12:42:05     all   27.74    0.00    7.63    0.25    0.00    0.25    0.00    0.00    0.00   64.12
12:42:06     all   26.20    0.00    7.56    0.00    0.00    0.25    0.00    0.00    0.00   65.99
12:42:07     all   29.47    0.00    6.55    0.00    0.00    0.50    0.00    0.00    0.00   63.48
12:42:08     all   26.48    0.00    6.17    0.00    0.00    0.77    0.00    0.00    0.00   66.58
12:42:09     all   27.46    0.00    7.05    0.00    0.00    0.00    0.00    0.00    0.00   65.49
12:42:10     all   27.02    0.00    7.07    0.00    0.00    0.25    0.00    0.00    0.00   65.66
12:42:11     all   26.40    0.00    5.58    0.00    0.00    0.00    0.00    0.00    0.00   68.02
12:42:12     all   27.37    0.00    5.37    0.00    0.00    0.51    0.00    0.00    0.00   66.75
12:42:13     all   27.91    0.00    6.20    0.00    0.00    0.26    0.00    0.00    0.00   65.63
12:42:14     all   24.94    0.00    7.30    0.25    0.00    0.50    0.00    0.00    0.00   67.00
12:42:15     all   27.11    0.00    7.42    0.00    0.00    0.00    0.00    0.00    0.00   65.47
12:42:16     all   26.29    0.00    6.44    0.00    0.00    0.00    0.00    0.00    0.00   67.27
12:42:17     all   27.88    0.00    6.39    0.00    0.00    0.51    0.00    0.00    0.00   65.22
12:42:18     all   26.99    0.00    5.14    0.00    0.00    0.26    0.00    0.00    0.00   67.61
12:42:19     all   26.68    0.00    4.92    0.26    0.00    0.26    0.00    0.00    0.00   67.88
12:42:20     all   30.10    0.00    7.91    0.00    0.00    0.00    0.00    0.00    0.00   61.99
12:42:21     all   29.37    0.00    6.58    0.00    0.00    0.25    0.00    0.00    0.00   63.80
12:42:22     all   26.97    0.00    6.62    0.00    0.00    0.25    0.00    0.00    0.00   66.16
12:42:23     all   28.21    0.00    6.41    0.00    0.00    0.26    0.00    0.00    0.00   65.13
12:42:24     all   29.49    0.00    5.90    0.26    0.00    0.00    0.00    0.00    0.00   64.36
12:42:25     all   28.24    0.00    7.38    0.00    0.00    0.25    0.00    0.00    0.00   64.12
12:42:26     all   27.53    0.00    6.23    0.00    0.00    0.26    0.00    0.00    0.00   65.97
12:42:27     all   26.97    0.00    7.38    0.00    0.00    0.25    0.00    0.00    0.00   65.39
12:42:28     all   29.34    0.00    7.14    0.00    0.00    0.26    0.00    0.00    0.00   63.27
12:42:29     all   24.62    0.00    6.15    0.00    0.00    0.00    0.00    0.00    0.00   69.23
12:42:30     all   25.90    0.00    7.69    0.00    0.00    0.26    0.00    0.00    0.00   66.15
12:42:31     all   27.81    0.00    7.65    0.00    0.00    0.00    0.00    0.00    0.00   64.54
12:42:32     all   25.50    0.00    5.25    0.00    0.00    0.25    0.00    0.00    0.00   69.00
12:42:33     all   27.88    0.00    6.65    0.00    0.00    0.00    0.00    0.00    0.00   65.47
12:42:34     all   29.11    0.00    5.06    0.00    0.00    0.25    0.00    0.00    0.00   65.57
12:42:35     all   26.46    0.00    6.62    0.00    0.00    0.25    0.00    0.00    0.00   66.67
12:42:36     all   27.62    0.00    6.65    0.00    0.00    0.26    0.00    0.00    0.00   65.47
12:42:37     all   24.55    0.00    6.14    0.00    0.00    0.51    0.00    0.00    0.00   68.80
12:42:38     all   31.73    0.00    6.85    0.00    0.00    0.00    0.00    0.00    0.00   61.42
12:42:39     all   29.19    0.00    6.60    0.25    0.00    0.51    0.00    0.00    0.00   63.45
12:42:40     all   24.11    0.00    6.85    0.00    0.00    0.76    0.00    0.00    0.00   68.27
12:42:41     all   28.13    0.00    7.93    0.00    0.00    0.26    0.00    0.00    0.00   63.68
12:42:42     all   25.83    0.00    6.14    0.00    0.00    0.26    0.00    0.00    0.00   67.77
12:42:43     all   24.48    0.00    6.44    0.00    0.00    0.00    0.00    0.00    0.00   69.07
12:42:44     all   23.72    0.00    7.40    0.00    0.00    0.00    0.00    0.00    0.00   68.88
12:42:45     all   25.19    0.00    7.63    0.00    0.00    0.25    0.00    0.00    0.00   66.92
12:42:46     all   25.13    0.00    8.46    0.00    0.00    0.26    0.00    0.00    0.00   66.15
12:42:47     all   28.32    0.00    5.36    0.00    0.00    0.26    0.00    0.00    0.00   66.07
12:42:48     all   24.09    0.00    5.96    0.00    0.00    0.00    0.00    0.00    0.00   69.95
12:42:49     all   26.28    0.00    6.89    0.00    0.00    0.26    0.00    0.00    0.00   66.58
12:42:50     all   26.95    0.00    7.05    0.00    0.00    0.25    0.00    0.00    0.00   65.74
12:42:51     all   26.61    0.00    6.72    0.00    0.00    0.00    0.00    0.00    0.00   66.67
12:42:52     all   26.80    0.00    6.96    0.00    0.00    0.52    0.00    0.00    0.00   65.72
12:42:53     all   25.00    0.00    6.00    0.00    0.00    0.75    0.00    0.00    0.00   68.25
12:42:54     all   28.64    0.00    7.04    0.00    0.00    0.00    0.00    0.00    0.00   64.32
12:42:55     all   23.12    0.00    5.97    0.26    0.00    0.00    0.00    0.00    0.00   70.65
12:42:56     all   25.45    0.00    5.66    0.00    0.00    0.00    0.00    0.00    0.00   68.89
12:42:57     all   26.95    0.00    7.05    0.00    0.00    0.50    0.00    0.00    0.00   65.49
12:42:58     all   27.84    0.00    6.70    0.00    0.00    0.00    0.00    0.00    0.00   65.46
12:42:59     all   22.60    0.00    6.49    0.00    0.00    0.26    0.00    0.00    0.00   70.65
12:43:00     all   26.41    0.00    6.67    0.26    0.00    0.26    0.00    0.00    0.00   66.41
12:43:01     all   23.86    0.00    6.60    0.25    0.00    0.25    0.00    0.00    0.00   69.04
12:43:02     all   25.38    0.00    6.67    0.00    0.00    0.26    0.00    0.00    0.00   67.69
12:43:03     all   26.90    0.00    6.35    0.00    0.00    0.25    0.00    0.00    0.00   66.50
12:43:04     all   27.23    0.00    6.62    0.00    0.00    0.25    0.00    0.00    0.00   65.90
12:43:05     all   24.37    0.00    8.12    0.00    0.00    0.00    0.00    0.00    0.00   67.51
12:43:06     all   25.69    0.00    7.81    0.00    0.00    0.50    0.00    0.00    0.00   65.99
12:43:07     all   26.74    0.00    6.94    0.00    0.00    0.26    0.00    0.00    0.00   66.07
12:43:08     all   25.58    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   68.48
12:43:09     all   26.28    0.00    6.12    0.00    0.00    0.51    0.00    0.00    0.00   67.09
12:43:10     all   25.71    0.00    6.43    0.51    0.00    0.00    0.00    0.00    0.00   67.35
12:43:11     all   30.05    0.00    7.58    0.00    0.00    0.25    0.00    0.00    0.00   62.12
12:43:12     all   29.16    0.00    6.39    0.00    0.00    0.51    0.00    0.00    0.00   63.94
12:43:13     all   28.02    0.00    5.40    0.00    0.00    0.26    0.00    0.00    0.00   66.32
12:43:14     all   27.04    0.00    5.87    0.00    0.00    0.26    0.00    0.00    0.00   66.84
12:43:15     all   28.42    0.00    6.72    0.26    0.00    0.26    0.00    0.00    0.00   64.34
12:43:16     all   25.32    0.00    6.39    0.00    0.00    0.26    0.00    0.00    0.00   68.03
12:43:17     all   29.12    0.00    7.47    0.00    0.00    0.00    0.00    0.00    0.00   63.40
12:43:18     all   28.14    0.00    6.03    0.00    0.00    0.75    0.00    0.00    0.00   65.08
12:43:19     all   27.95    0.00    5.13    0.00    0.00    0.00    0.00    0.00    0.00   66.92
12:43:20     all   24.35    0.00    4.92    0.00    0.00    0.52    0.00    0.00    0.00   70.21
12:43:21     all   26.17    0.00    5.70    0.00    0.00    0.52    0.00    0.00    0.00   67.62
12:43:22     all   26.34    0.00    6.39    0.00    0.00    0.26    0.00    0.00    0.00   67.01
12:43:23     all   25.19    0.00    5.91    0.00    0.00    0.26    0.00    0.00    0.00   68.64
12:43:24     all   26.67    0.00    6.67    0.00    0.00    0.26    0.00    0.00    0.00   66.41
12:43:25     all   26.26    0.00    6.06    0.00    0.00    0.25    0.00    0.00    0.00   67.42
12:43:26     all   28.39    0.00    6.14    0.00    0.00    0.51    0.00    0.00    0.00   64.96
12:43:27     all   29.61    0.00    6.49    0.00    0.00    0.26    0.00    0.00    0.00   63.64
12:43:28     all   26.72    0.00    6.36    0.00    0.00    0.51    0.00    0.00    0.00   66.41
12:43:29     all   29.74    0.00    7.18    0.00    0.00    0.26    0.00    0.00    0.00   62.82
12:43:30     all   27.88    0.00    7.67    0.00    0.00    0.26    0.00    0.00    0.00   64.19
12:43:31     all   26.85    0.00    6.14    0.00    0.00    0.26    0.00    0.00    0.00   66.75
12:43:32     all   27.37    0.00    6.91    0.00    0.00    0.00    0.00    0.00    0.00   65.73
12:43:33     all   27.01    0.00    6.23    0.00    0.00    0.26    0.00    0.00    0.00   66.49
12:43:34     all   25.89    0.00    5.58    0.00    0.00    0.00    0.00    0.00    0.00   68.53
12:43:35     all   25.52    0.00    6.25    0.00    0.00    0.00    0.00    0.00    0.00   68.23
12:43:36     all   30.38    0.00    7.09    0.00    0.00    0.25    0.00    0.00    0.00   62.28
12:43:37     all   27.81    0.00    6.38    0.00    0.00    0.26    0.00    0.00    0.00   65.56
12:43:38     all   26.65    0.00    6.09    0.51    0.00    0.51    0.00    0.00    0.00   66.24
12:43:39     all   26.34    0.00    6.14    0.00    0.00    0.26    0.00    0.00    0.00   67.26
12:43:40     all   25.19    0.00    6.36    0.00    0.00    0.25    0.00    0.00    0.00   68.19
12:43:41     all   30.38    0.00    6.08    0.00    0.00    0.51    0.00    0.00    0.00   63.04
12:43:42     all   29.82    0.00    5.91    0.00    0.00    0.26    0.00    0.00    0.00   64.01
12:43:43     all   26.58    0.00    7.59    0.00    0.00    0.25    0.00    0.00    0.00   65.57
12:43:44     all   28.72    0.00    7.69    0.00    0.00    0.51    0.00    0.00    0.00   63.08
12:43:45     all   25.38    0.00    7.18    0.00    0.00    0.77    0.00    0.00    0.00   66.67
12:43:46     all   27.34    0.00    6.33    0.25    0.00    0.51    0.00    0.00    0.00   65.57
12:43:47     all   27.85    0.00    7.59    0.00    0.00    0.25    0.00    0.00    0.00   64.30
12:43:48     all   26.42    0.00    6.48    0.00    0.00    0.00    0.00    0.00    0.00   67.10
12:43:49     all   29.26    0.00    5.09    0.00    0.00    0.25    0.00    0.00    0.00   65.39
12:43:50     all   25.83    0.00    6.91    0.00    0.00    0.51    0.00    0.00    0.00   66.75
12:43:51     all   27.99    0.00    7.63    0.00    0.00    0.25    0.00    0.00    0.00   64.12
12:43:52     all   26.26    0.00    4.80    0.00    0.00    0.51    0.00    0.00    0.00   68.43
12:43:53     all   27.30    0.00    7.91    0.00    0.00    0.51    0.00    0.00    0.00   64.29
12:43:54     all   27.99    0.00    7.89    0.00    0.00    0.25    0.00    0.00    0.00   63.87
12:43:55     all   24.94    0.00    6.17    0.00    0.00    0.51    0.00    0.00    0.00   68.38
